"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "XML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Ajay\Desktop\Gola Glam\frontend\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 6, 13
"c:\Users\Ajay\Desktop\Gola Glam\frontend\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\Ajay\Desktop\Gola Glam\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 3, 16
"c:\Users\Ajay\Desktop\Gola Glam\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3446, 0, 0, 1, 3447
"c:\Users\Ajay\Desktop\Gola Glam\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\Ajay\Desktop\Gola Glam\frontend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\App.jsx", "JavaScript JSX", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\assets\assets.js", "JavaScript", 0, 718, 0, 0, 0, 0, 0, 0, 5, 723
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Bestseller.jsx", "JavaScript JSX", 36, 0, 0, 0, 0, 0, 0, 0, 10, 46
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Footer.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 0, 4, 1, 39
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Hero.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 0, 2, 1, 26
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Latestcollection.jsx", "JavaScript JSX", 38, 0, 0, 0, 0, 0, 0, 1, 6, 45
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Navbar.jsx", "JavaScript JSX", 66, 0, 0, 0, 0, 0, 0, 1, 8, 75
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Nesletterbox.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Ourpolicy.jsx", "JavaScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\ProductItem.jsx", "JavaScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Relatedproducts.jsx", "JavaScript JSX", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Searchbar.jsx", "JavaScript JSX", 11, 0, 0, 0, 0, 0, 0, 0, 6, 17
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\components\Title.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 8, 21
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\context\ShopContext.jsx", "JavaScript JSX", 57, 0, 0, 0, 0, 0, 0, 1, 10, 68
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\index.css", "PostCSS", 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\main.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 0, 0, 2, 4, 19
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\pages\About.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\pages\Cart.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 8, 49
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\pages\Collection.jsx", "JavaScript JSX", 113, 0, 0, 0, 0, 0, 0, 9, 22, 144
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\pages\Contact.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\pages\Home.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\pages\login.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\pages\order.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\pages\placeorder.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Ajay\Desktop\Gola Glam\frontend\src\pages\product.jsx", "JavaScript JSX", 88, 0, 0, 0, 0, 0, 0, 5, 7, 100
"c:\Users\Ajay\Desktop\Gola Glam\frontend\vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"Total", "-", 721, 752, 19, 2, 7, 3477, 13, 26, 145, 5162